"Term"	"Terim"
"abort"	"iptal"
"Abstract"	"Soyut"
"Accelerator"	"Hızlandırıcı"
"Accept"	"Kabul etmek"
"access"	"erişim"
"Account"	"Hesap"
"Active"	"Etkin"
"Actor"	"Oyuncu"
"Actuator"	"Konumlandırıcı"
"Add"	"Eklemek"
"Address"	"Adres"
"Adjust"	"Düzeltmek"
"Administration"	"Yönetim"
"Aggregate"	"Toplamak"
"Alarm"	"Uyarıcı"
"Align"	"Hizalamak"
"Allow"	"İzin vermek"
"Alpha"	"Alfa"
"alpha channel"	"alfa kanalı"
"Analog"	"Analog"
"Analysis"	"Analiz"
"Anchor"	"Çapa"
"AND"	"VE"
"Animation"	"Canlandırma"
"Anonymous"	"Anonim"
"Answer mode"	"Yanıt kipi"
"Antialiasing"	"Yumuşatma"
"Append"	"Sonuna eklemek"
"Applet"	"Uygulamacık"
"applet"	"uygulamacık"
"Application"	"Uygulama"
"Application Launcher"	"Uygulama Başlatıcısı"
"Applix"	"Applix"
"Arc"	"Kavis"
"archive"	"Arşiv"
"area grid"	"Alan ızgarası"
"Argument"	"Argüman"
"Array"	"Dizi"
"Arrow key"	"Ok tuşu"
"Article"	"Makale"
"Ascending order"	"Büyüyen sıralama"
"Ascii"	"Ascii"
"aspect ratio"	"görüş oranı"
"asssitive technology"	"yardımcı teknoloji"
"Asynchronous"	"Asenkron"
"Attachment"	"Ek"
"Attribute"	"Öznitelik"
"Audio"	"İşitsel"
"Authentication"	"Kimlik denetimi"
"Author"	"Yazar"
"Autofill"	"Otomatik doldurmak"
"Availability"	"Ulaşılabilirlik"
"Average"	"Ortalama"
"Axis"	"Eksen"
"Background"	"Arkaplan"
"Backup"	"Yedekleme"
"Balance"	"Denge"
"Base"	"Taban"
"behaviour"	"işleyiş"
"benchmark"	"karşılaştırma"
"Binary"	"İkili"
"Binding"	"Bağıntı"
"Binomial distribution"	"Binom dağılımı"
"Bit"	"Bit"
"Bitmap"	"Bit haritası"
"Blank"	"Boş"
"Blinking cursor"	"Yanıp sönen imleç"
"block buffer"	"blok tampon"
"Blocked"	"Engellenmiş"
"Blur image"	"Bulanık görüntü"
"body"	"Gövde"
"Bold"	"Kalın"
"book mark"	"Yer imi"
"Boolean"	"Mantıksal değer"
"Box"	"Kutu"
"Branch"	"Dal"
"Bricks"	"Tuğlalar"
"Browse"	"Gözat"
"Browser"	"Tarayıcı"
"Buffer"	"Tampon"
"bug"	"hata"
"Build"	"İnşa etmek"
"Bullet"	"Ayraç"
"Bulletin Board"	"İlan tahtası"
"Bus"	"Veri yolu"
"Busy"	"Meşgul"
"Button"	"Düğme"
"Byte"	"Bayt"
"C"	"C"
"Cache"	"Önbellek"
"Calculator"	"Hesap makinesi"
"Calendar"	"Takvim"
"Call"	"Bağlantı kurmak"
"Cancel"	"İptal etmek"
"canvas"	"tuval"
"Caption"	"Başlık"
"Case Sensitive"	"Büyük/Küçük Harfe Duyarlı"
"Categories"	"Sınıflar"
"CD"	"CD"
"CDE panel"	"CDE paneli"
"Cell"	"Hücre"
"Cellular"	"Hücresel"
"Center"	"Ortala"
"Channel"	"Kanal"
"char cell"	"harf kutusu"
"Character set"	"Karakter kümesi"
"Chat"	"Sohbet"
"Check bit"	"Kontrol bit kümesi"
"check button"	"onay düğmesi"
"Checkbox"	"Onay kutusu"
"child"	"oğul"
"child process"	"oğul işlem"
"Class"	"Sınıf"
"Classification"	"Sınıflandırma"
"Clear"	"Temizlemek"
"Clipboard"	"Pano"
"Close"	"Kapatmak"
"code"	"kod"
"code segment"	"kod parçası"
"Coefficient"	"Katsayı"
"Collaboration"	"İşbirliği"
"Collate"	"Harmanlama"
"Collision"	"Çarpışma"
"colorspace"	"renk uzayı"
"Command"	"Komut"
"Command Line"	"Komut Satırı"
"Command line options"	"Komut satırı seçenekleri"
"Common properties"	"Ortak özellikleri"
"Compare"	"Karşılaştırmak"
"Concatenate"	"Birleştirmek"
"Condition"	"Koşul"
"Conduit"	"Koruyucu boru"
"Confidential"	"Gizli"
"Configuration"	"Yapılandırma"
"Confirm"	"Doğrulama"
"Confirmation"	"Doğrulamak"
"Connection"	"Bağlantı"
"Constraint"	"Kısıt"
"container"	"taşıyıcı"
"Content"	"İçerik"
"Continue"	"Devam"
"Control"	"Kontrol"
"Conversion"	"Çevrim"
"cookie"	"çerez"
"Copy"	"Kopyalamak"
"Copyright"	"Telif Hakkı"
"CORBA"	"CORBA"
"Core file"	"Core dosyası"
"Correlation"	"İlişki"
"cos"	"cos"
"Cost"	"Maliyet"
"Count"	"Saymak"
"Covariance"	"Kovaryans"
"CPU"	"MİB"
"crash"	"çökmek"
"Create"	"Oluşturmak"
"Criteria range"	"Genel yargı kapsamı"
"Critical error"	"Tehlikeli hata"
"Crop"	"Kırpmak"
"Cross-reference"	"Çapraz başvuru"
"Ctrl"	"Control tuşu"
"Cumulative"	"Birikmiş"
"Current"	"Akım"
"cursor"	"imleç"
"Curve"	"Eğri"
"custom window"	"Özel pencere"
"Customize"	"Özelleştirmek"
"Cut"	"Kesmek"
"Daemon"	"Servis"
"Data"	"Veri"
"database"	"veri tabanı"
"Debug"	"Hata ayıklamak"
"decimal"	"ondalık"
"decoder"	"çözümleyici"
"Decrease"	"Azalmak"
"Default"	"Öntanımlı"
"Delete"	"Silmek"
"Dependence"	"Bağımlılık"
"Derived"	"Türetilmiş"
"Descending sort"	"Azalan sıralama"
"Descriptor"	"Tanımlayıcı"
"Desktop"	"Masaüstü"
"Desktop Environment"	"Masaüstü Ortamı"
"Destination"	"Hedef"
"Destroy"	"Yıkmak"
"Detection"	"Tanıma"
"Device"	"Aygıt"
"Diagonal"	"Köşegen"
"Diagram"	"Şema"
"Dial"	"Aramak"
"Dialog Box"	"İletişim Kutusu"
"Dialout Device"	"Dış arama Aygıtı"
"Digits"	"Basamaklar"
"Dimension"	"Boyut"
"Direction"	"Yön"
"Directory"	"Dizin"
"Disable"	"Kapatmak"
"Discard"	"Vazgeç"
"Disconnect"	"Bağlantıyı kesmek"
"Discrete"	"Ayrık"
"disk"	"disk"
"Dismiss"	"Kapatmak"
"Display"	"Ekran, görüntü"
"Dissipation"	"Güç kaybı"
"Distribute"	"Dağıtmak"
"Distribution list"	"İleti dağıtım listesi"
"Dithering"	"Geçiş"
"Division by zero"	"Sıfıra bölüm"
"DMA"	"DMA"
"DNS"	"DNS"
"Document"	"Belge"
"Domain"	"Alan"
"Dot"	"Nokta"
"Download"	"İndirme"
"Drawing Area"	"Çizme Alanı"
"Drop"	"Bırakmak"
"drop down"	"açılır"
"Druid"	"Sihirbaz"
"dumb Terminal"	"Aptal terminal"
"Duplicate..."	"Çoğalt..."
"Dynamic"	"Devingen"
"E-mail"	"E-posta"
"Echo"	"Yankı"
"Edge"	"Köşe"
"Edit"	"Düzenlemek"
"Effects"	"Efektler"
"Eject"	"Çıkart"
"Electronic Mail"	"Elektronik Posta"
"emulation"	"emülasyon, öykünüm"
"Enable"	"Etkinleştirmek"
"Encapsulated Postscript"	"Encapsulated Postscript"
"Encoding"	"Kodlama"
"Engineering"	"Mühendislik"
"Entity"	"Varlık"
"environment variable"	"Çevresel değişken"
"Equation"	"Eşitlik"
"Error"	"Hata"
"Ethernet"	"Ethernet"
"Event"	"Olay"
"Exception"	"İstisna"
"Exclusive OR"	"XOR"
"executable file"	"çalıştırılabilir dosya"
"Execute"	"Çalıştırmak"
"Exit"	"Çık"
"Expanded memory"	"Genişletilmiş bellek"
"expected location"	"beklenen konum"
"Explicit state"	""
"Exponential notation"	"Üstel yazılım"
"Export"	"Aktarmak"
"expression"	"deyim"
"Extension"	"Uzantı"
"Extract"	"Ayrıştır"
"eyedropper"	"damlalık"
"Favorite"	"Sık kullanılan"
"Fax"	"Faks"
"Field"	"Alan"
"File"	"Dosya"
"Filename"	"Dosya adı"
"Filesystem"	"Dosya sistemi"
"Fill"	"Doldur"
"Filter"	"Süzgeç"
"Find"	"Bul"
"Firmware"	"Yerleşil bellek"
"Fixed Font"	"Eşaralıklı Yazıtipi"
"Float"	"Gerçel sayı"
"Floppy"	"Disket"
"Flow analysis"	"Akış analizi"
"Flowchart"	"Akış şeması"
"folder"	"klasör"
"Folder"	"Dizin"
"font"	"yazıtipi"
"Font"	"Yazıtipi"
"Footer"	"Dipnot"
"Forecast"	"Tahmin (hava sıcaklığı tahmini)"
"Foreground"	"Önplan"
"fork"	"çatallanmak"
"Form"	"Form"
"Format"	"Biçim"
"Formula"	"Formül"
"Fourier Analysis"	"Fourier analizi"
"Fraction"	"Bölüm"
"Frame"	"Çerçeve"
"free for chat"	"sohbet edebilir"
"Free Software"	"Özgür Yazılım"
"Frequency"	"Frekans,Sıklık"
"FTP"	"FTP"
"full pathname"	"tam yol adı"
"Function"	"Fonksiyon"
"Gamma"	"Gama"
"genre"	"tür"
"Geometry"	"Geometri"
"get"	"al"
"Global"	"Genel"
"GNOME"	"GNOME"
"GNU"	"GNU"
"GPL"	"GPL"
"Grab"	"Yakalamak"
"Gradient"	"Geçiş,Gradyan"
"Graph"	"Grafik"
"Graphical user interface"	"Grafiksel kullanıcı arayüzü"
"Grid"	"Izgara"
"Group"	"Grup"
"Gtk"	"Gtk"
"GUI"	"GUI"
"Gutter"	""
"Hacker"	"Korsan"
"Handle"	"Tutacak"
"Handshake"	"El sıkışması"
"Hard Disk"	"Sabit Disk"
"Header"	"Başlık"
"Headword"	""
"Hello World"	"Merhaba dünya"
"Help"	"Yardım"
"Hex"	"Onaltılı"
"Hidden file"	"Gizli dosya"
"Hide"	"Gizle"
"hierachy"	"hiyerarşi"
"Highlight..."	"Vurgu..."
"Histogram"	"Histogram"
"History"	"Geçmiş"
"Home"	"Ev, başlangıç"
"Home directory"	"Ev dizini, başlangıç dizini"
"Home Page"	"Ev Sayfası"
"Homogeneous environment"	"Homojen ortam"
"Host"	"Makine"
"Host name"	"Makine adı"
"Hot Key"	"Kısayol tuşu"
"Housekeeping"	""
"HTML"	"HTML"
"HTTP"	"HTTP"
"Hue"	"Doygu"
"I/O subsystem"	"G/Ç alt sistemi"
"Icon"	"Simge"
"ID"	"No"
"IDE"	"IDE"
"Identifier"	"Belirteç"
